source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Source_Tumor_CSC,Target_PBMC_NK,CD14,RIPK1,0.22467473,1.0,0.04616702,-0.17947046909176087,-0.3653030543075506,0.1588691,0.71754074,1.0,0.8557409097134785
Source_Tumor_CSC,Target_PBMC_NK,THY1,ITGAM_ITGB2,0.23360665,0.0,0.03854748,0.3340993052610225,0.5783961639989694,0.84754163,0.6989089,0.052840293692707256,0.8557409097134785
Source_Tumor_CSC,Target_PBMC_NK,ADAM15,ITGB1,0.43812543,0.0,0.16166247,0.08312978686710272,0.24793764839208257,0.32657877,0.826198,0.3092774880908803,0.8654943436786646
Source_Tumor_CSC,Target_PBMC_NK,HBEGF,CD82,0.2229136,0.0,0.04787683,0.08385061106133589,0.0685612485374561,0.2679071,0.7212113,0.6518340653192852,0.86777077221989
Source_Tumor_CSC,Target_PBMC_NK,ARF6,SMAP1,0.36761957,1.0,0.13193378,-0.20558119776247916,-0.20837562858334824,0.20545708,0.8111213,1.0,0.8693892977266983
Source_Tumor_CSC,Target_PBMC_NK,BAG6,NCR3,0.2228474,1.0,0.047980882,-0.05882579261689287,0.25757135788969504,0.34451917,0.7214295,1.0,0.8701903822009
Source_Tumor_CSC,Target_PBMC_NK,SNCA,LAG3,0.117380165,0.233,0.012751776,0.008377956553711471,0.12430227246116421,0.4200553,0.5717507,1.0,0.8711020279822304
Source_Tumor_CSC,Target_PBMC_NK,IGF2,IGF2R,0.2631039,0.0,0.03775463,0.3084310712335683,0.15867435162583077,0.5949793,0.69671774,0.2951252820019762,0.8726142502483543
Source_Tumor_CSC,Target_PBMC_NK,CXCL12,CXCR3,0.11727877,0.0,0.012823943,0.2932185105199405,0.3703185444273489,0.7929991,0.57244146,0.05666578589707767,0.8754945411763694
Source_Tumor_CSC,Target_PBMC_NK,TGFB1,LPP,0.43617076,1.0,0.17722283,-0.49656734442611633,-1.1222997565811506,0.10735386,0.8326974,1.0,0.8756326318134369
Source_Tumor_CSC,Target_PBMC_NK,TNFSF13,TNFRSF14,0.2793878,1.0,0.037554946,-0.11775672765380359,-0.20351015420538474,0.14615563,0.69615716,1.0,0.877475481094492
Source_Tumor_CSC,Target_PBMC_NK,LAMC1,ITGA6_ITGB1,0.120332584,0.0,0.012827073,0.37806937542454755,-0.008678957313714847,0.2535451,0.5724714,0.8530335995100404,0.8798810082206985
Source_Tumor_CSC,Target_PBMC_NK,S100A9,CD36,0.4348449,1.0,0.18477057,-0.33955824103852017,-1.7443255635812154,0.10725921,0.83558244,1.0,0.8807134249429698
Source_Tumor_CSC,Target_PBMC_NK,VCAM1,ITGA4_ITGB1,0.4149892,0.0,0.13333584,0.3803235812322566,0.5483948429852292,0.5278714,0.8119297,0.052840293692707256,0.8815426422915991
